has,prefers,count
"Pirates","Pirates",0
"Pirates","Americans",1
"Pirates","Giants",0
"Pirates","Athletics",0
"Pirates","Cubs",0
"Pirates","White Sox",0
"Pirates","Tigers",0
"Pirates","Red Sox",0
"Pirates","Braves",0
"Pirates","Phillies",0
"Pirates","Robins",0
"Pirates","Reds",0
"Pirates","Indians",0
"Pirates","Yankees",1
"Pirates","Senators",1
"Pirates","Cardinals",0
"Pirates","Dodgers",0
"Pirates","Browns",0
"Pirates","Twins",0
"Pirates","Orioles",2
"Pirates","Mets",0
"Pirates","Brewers",0
"Pirates","Padres",0
"Pirates","Royals",0
"Pirates","Blue Jays",0
"Pirates","Marlins",0
"Pirates","Diamondbacks",0
"Pirates","Astros",0
"Pirates","Rockies",0
"Pirates","Rays",0
"Pirates","Rangers",0
"Pirates","Angels",0
"Americans","Pirates",0
"Americans","Americans",0
"Americans","Giants",0
"Americans","Athletics",0
"Americans","Cubs",0
"Americans","White Sox",0
"Americans","Tigers",0
"Americans","Red Sox",0
"Americans","Braves",0
"Americans","Phillies",0
"Americans","Robins",0
"Americans","Reds",0
"Americans","Indians",0
"Americans","Yankees",0
"Americans","Senators",0
"Americans","Cardinals",0
"Americans","Dodgers",0
"Americans","Browns",0
"Americans","Twins",0
"Americans","Orioles",0
"Americans","Mets",0
"Americans","Brewers",0
"Americans","Padres",0
"Americans","Royals",0
"Americans","Blue Jays",0
"Americans","Marlins",0
"Americans","Diamondbacks",0
"Americans","Astros",0
"Americans","Rockies",0
"Americans","Rays",0
"Americans","Rangers",0
"Americans","Angels",0
"Giants","Pirates",0
"Giants","Americans",0
"Giants","Giants",0
"Giants","Athletics",1
"Giants","Cubs",0
"Giants","White Sox",0
"Giants","Tigers",1
"Giants","Red Sox",0
"Giants","Braves",0
"Giants","Phillies",0
"Giants","Robins",0
"Giants","Reds",0
"Giants","Indians",1
"Giants","Yankees",2
"Giants","Senators",1
"Giants","Cardinals",0
"Giants","Dodgers",0
"Giants","Browns",0
"Giants","Twins",0
"Giants","Orioles",0
"Giants","Mets",0
"Giants","Brewers",0
"Giants","Padres",0
"Giants","Royals",1
"Giants","Blue Jays",0
"Giants","Marlins",0
"Giants","Diamondbacks",0
"Giants","Astros",0
"Giants","Rockies",0
"Giants","Rays",0
"Giants","Rangers",1
"Giants","Angels",0
"Athletics","Pirates",0
"Athletics","Americans",0
"Athletics","Giants",3
"Athletics","Athletics",0
"Athletics","Cubs",2
"Athletics","White Sox",0
"Athletics","Tigers",0
"Athletics","Red Sox",0
"Athletics","Braves",0
"Athletics","Phillies",0
"Athletics","Robins",0
"Athletics","Reds",1
"Athletics","Indians",0
"Athletics","Yankees",0
"Athletics","Senators",0
"Athletics","Cardinals",1
"Athletics","Dodgers",1
"Athletics","Browns",0
"Athletics","Twins",0
"Athletics","Orioles",0
"Athletics","Mets",1
"Athletics","Brewers",0
"Athletics","Padres",0
"Athletics","Royals",0
"Athletics","Blue Jays",0
"Athletics","Marlins",0
"Athletics","Diamondbacks",0
"Athletics","Astros",0
"Athletics","Rockies",0
"Athletics","Rays",0
"Athletics","Rangers",0
"Athletics","Angels",0
"Cubs","Pirates",0
"Cubs","Americans",0
"Cubs","Giants",0
"Cubs","Athletics",0
"Cubs","Cubs",0
"Cubs","White Sox",0
"Cubs","Tigers",2
"Cubs","Red Sox",0
"Cubs","Braves",0
"Cubs","Phillies",0
"Cubs","Robins",0
"Cubs","Reds",0
"Cubs","Indians",0
"Cubs","Yankees",0
"Cubs","Senators",0
"Cubs","Cardinals",0
"Cubs","Dodgers",0
"Cubs","Browns",0
"Cubs","Twins",0
"Cubs","Orioles",0
"Cubs","Mets",0
"Cubs","Brewers",0
"Cubs","Padres",0
"Cubs","Royals",0
"Cubs","Blue Jays",0
"Cubs","Marlins",0
"Cubs","Diamondbacks",0
"Cubs","Astros",0
"Cubs","Rockies",0
"Cubs","Rays",0
"Cubs","Rangers",0
"Cubs","Angels",0
"White Sox","Pirates",0
"White Sox","Americans",0
"White Sox","Giants",1
"White Sox","Athletics",0
"White Sox","Cubs",1
"White Sox","White Sox",0
"White Sox","Tigers",0
"White Sox","Red Sox",0
"White Sox","Braves",0
"White Sox","Phillies",0
"White Sox","Robins",0
"White Sox","Reds",0
"White Sox","Indians",0
"White Sox","Yankees",0
"White Sox","Senators",0
"White Sox","Cardinals",0
"White Sox","Dodgers",0
"White Sox","Browns",0
"White Sox","Twins",0
"White Sox","Orioles",0
"White Sox","Mets",0
"White Sox","Brewers",0
"White Sox","Padres",0
"White Sox","Royals",0
"White Sox","Blue Jays",0
"White Sox","Marlins",0
"White Sox","Diamondbacks",0
"White Sox","Astros",1
"White Sox","Rockies",0
"White Sox","Rays",0
"White Sox","Rangers",0
"White Sox","Angels",0
"Tigers","Pirates",0
"Tigers","Americans",0
"Tigers","Giants",0
"Tigers","Athletics",0
"Tigers","Cubs",1
"Tigers","White Sox",0
"Tigers","Tigers",0
"Tigers","Red Sox",0
"Tigers","Braves",0
"Tigers","Phillies",0
"Tigers","Robins",0
"Tigers","Reds",0
"Tigers","Indians",0
"Tigers","Yankees",0
"Tigers","Senators",0
"Tigers","Cardinals",1
"Tigers","Dodgers",0
"Tigers","Browns",1
"Tigers","Twins",0
"Tigers","Orioles",0
"Tigers","Mets",0
"Tigers","Brewers",0
"Tigers","Padres",1
"Tigers","Royals",0
"Tigers","Blue Jays",0
"Tigers","Marlins",0
"Tigers","Diamondbacks",0
"Tigers","Astros",0
"Tigers","Rockies",0
"Tigers","Rays",0
"Tigers","Rangers",0
"Tigers","Angels",0
"Red Sox","Pirates",0
"Red Sox","Americans",0
"Red Sox","Giants",1
"Red Sox","Athletics",1
"Red Sox","Cubs",1
"Red Sox","White Sox",0
"Red Sox","Tigers",0
"Red Sox","Red Sox",0
"Red Sox","Braves",0
"Red Sox","Phillies",0
"Red Sox","Robins",1
"Red Sox","Reds",0
"Red Sox","Indians",0
"Red Sox","Yankees",0
"Red Sox","Senators",0
"Red Sox","Cardinals",2
"Red Sox","Dodgers",0
"Red Sox","Browns",0
"Red Sox","Twins",0
"Red Sox","Orioles",0
"Red Sox","Mets",0
"Red Sox","Brewers",0
"Red Sox","Padres",0
"Red Sox","Royals",0
"Red Sox","Blue Jays",0
"Red Sox","Marlins",0
"Red Sox","Diamondbacks",0
"Red Sox","Astros",0
"Red Sox","Rockies",1
"Red Sox","Rays",0
"Red Sox","Rangers",0
"Red Sox","Angels",0
"Braves","Pirates",0
"Braves","Americans",0
"Braves","Giants",0
"Braves","Athletics",1
"Braves","Cubs",0
"Braves","White Sox",0
"Braves","Tigers",0
"Braves","Red Sox",0
"Braves","Braves",0
"Braves","Phillies",0
"Braves","Robins",0
"Braves","Reds",0
"Braves","Indians",1
"Braves","Yankees",1
"Braves","Senators",0
"Braves","Cardinals",0
"Braves","Dodgers",0
"Braves","Browns",0
"Braves","Twins",0
"Braves","Orioles",0
"Braves","Mets",0
"Braves","Brewers",0
"Braves","Padres",0
"Braves","Royals",0
"Braves","Blue Jays",0
"Braves","Marlins",0
"Braves","Diamondbacks",0
"Braves","Astros",0
"Braves","Rockies",0
"Braves","Rays",0
"Braves","Rangers",0
"Braves","Angels",0
"Phillies","Pirates",0
"Phillies","Americans",0
"Phillies","Giants",0
"Phillies","Athletics",0
"Phillies","Cubs",0
"Phillies","White Sox",0
"Phillies","Tigers",0
"Phillies","Red Sox",0
"Phillies","Braves",0
"Phillies","Phillies",0
"Phillies","Robins",0
"Phillies","Reds",0
"Phillies","Indians",0
"Phillies","Yankees",0
"Phillies","Senators",0
"Phillies","Cardinals",0
"Phillies","Dodgers",0
"Phillies","Browns",0
"Phillies","Twins",0
"Phillies","Orioles",0
"Phillies","Mets",0
"Phillies","Brewers",0
"Phillies","Padres",0
"Phillies","Royals",1
"Phillies","Blue Jays",0
"Phillies","Marlins",0
"Phillies","Diamondbacks",0
"Phillies","Astros",0
"Phillies","Rockies",0
"Phillies","Rays",1
"Phillies","Rangers",0
"Phillies","Angels",0
"Robins","Pirates",0
"Robins","Americans",0
"Robins","Giants",0
"Robins","Athletics",0
"Robins","Cubs",0
"Robins","White Sox",0
"Robins","Tigers",0
"Robins","Red Sox",0
"Robins","Braves",0
"Robins","Phillies",0
"Robins","Robins",0
"Robins","Reds",0
"Robins","Indians",0
"Robins","Yankees",0
"Robins","Senators",0
"Robins","Cardinals",0
"Robins","Dodgers",0
"Robins","Browns",0
"Robins","Twins",0
"Robins","Orioles",0
"Robins","Mets",0
"Robins","Brewers",0
"Robins","Padres",0
"Robins","Royals",0
"Robins","Blue Jays",0
"Robins","Marlins",0
"Robins","Diamondbacks",0
"Robins","Astros",0
"Robins","Rockies",0
"Robins","Rays",0
"Robins","Rangers",0
"Robins","Angels",0
"Reds","Pirates",0
"Reds","Americans",0
"Reds","Giants",0
"Reds","Athletics",1
"Reds","Cubs",0
"Reds","White Sox",1
"Reds","Tigers",1
"Reds","Red Sox",1
"Reds","Braves",0
"Reds","Phillies",0
"Reds","Robins",0
"Reds","Reds",0
"Reds","Indians",0
"Reds","Yankees",1
"Reds","Senators",0
"Reds","Cardinals",0
"Reds","Dodgers",0
"Reds","Browns",0
"Reds","Twins",0
"Reds","Orioles",0
"Reds","Mets",0
"Reds","Brewers",0
"Reds","Padres",0
"Reds","Royals",0
"Reds","Blue Jays",0
"Reds","Marlins",0
"Reds","Diamondbacks",0
"Reds","Astros",0
